"","x"
"alpha_D",-288.352745478109
"alpha_death_hosp",-121.213913069103
"alpha_H",-325.095466519527
"beta1",-232.899237774363
"beta2",-316.802155569725
"beta3",-357.437454577518
"beta4",-328.617314772144
"beta5",-314.262633576344
"beta6",-337.528238255338
"beta7",-307.16624983441
"beta8",-272.608302315081
"beta9",-270.887978995217
"eps",-162.707438259862
"m_CHR",-1270.88941341683
"m_CHW",-1182.58644201058
"mu_D",-216.11195548629
"p_G_D",-350.377812806856
"p_G_D_CHR",267.454765555702
"p_H",-24.4992135758094
"p_H_D",-61.1518523570441
"p_ICU",-89.0439410955463
"p_ICU_2",-170.880676214243
"p_ICU_D",81.0189257400865
"p_NC",-550.857846234097
"p_NC_weekend",-550.749029436803
"p_W_D",-104.40177824067
"rho_pillar2_tests",-564.085731716483
"start_date",-21.1547785585881
