"region","name","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rel_p_D_delta","rel_p_H_delta","rel_p_ICU_delta","rho_pillar2_tests","seed_date_delta","start_date","ta_delta"
"east_of_england","alpha_D",0.000436627597264632,1.38141387486342e-05,-2.3476238790322e-06,-1.42968789057151e-06,-1.0179225066018e-06,1.94111006875152e-06,3.2876447503066e-07,-5.47941911107463e-07,-6.84164065279002e-07,7.3525081156415e-07,1.51533450821609e-07,-6.18233226301613e-07,1.59928990253828e-06,-1.73319202385919e-06,-1.31332205458394e-05,1.05003911943494e-06,-3.18151974586093e-06,4.87172491953233e-06,-8.12732412500758e-06,2.79326561956371e-06,-3.75947412421766e-06,5.77669630570972e-06,-2.26100148805912e-05,2.26536373130853e-06,-7.86843751880486e-07,4.78431263984761e-07,-2.22358919703611e-07,7.80448563014378e-07,-1.10424414991537e-06,6.27126150321014e-07,-0.000851156461504264,5.52843064899401e-10,-3.07756125657464e-10,8.19605814399698e-06,-1.71539273277049e-05,-9.0913740804634e-06,-3.66458335412772e-06,-1.00094557816425e-05,8.00364635426065e-06,4.5904616208223e-07,-3.63582940599655e-05,1.23481080563031e-05,1.0969461041069e-05,-7.84761979370554e-07,1.20323066222704e-05,2.56359774502211e-06,4.15438246614144e-07,-3.81590967406675e-05,-1.55169935601682e-07,-4.45846154055529e-08,7.61959336307214e-05,-9.05518340770304e-05,7.67766600772728e-06,2.19417505593679e-06,1.36384604338633e-07,7.22967638025624e-05,-0.00155621008124833,1.10046382716116e-05
"east_of_england","alpha_death_hosp",1.38141387486342e-05,4.8621736554912e-05,-6.58807962059199e-07,-2.67386576042645e-06,-9.86567312178892e-07,1.65250177695751e-06,-2.88710521496021e-07,-5.74773075129979e-07,5.58337491923227e-07,-1.17707135493554e-06,-7.64371409368659e-08,-4.31980033928964e-07,5.88623683118675e-08,-2.25688747286616e-07,4.25667631122413e-06,-8.75635717797701e-07,4.23336000299941e-07,-2.78745767903588e-06,-2.03506826606398e-07,-3.01577370462976e-09,-9.47456892753273e-07,-1.2149823351953e-06,1.9241998874675e-05,2.28464899932736e-07,-6.4136463600169e-07,2.66290475912817e-07,-5.1516452142599e-07,6.65897136406561e-07,-1.19301516942923e-06,2.45332979062309e-07,-2.8712922186654e-05,-2.22231791617335e-10,2.59369677728783e-10,2.25548274609515e-05,2.2868222741346e-05,-1.11584028092454e-05,1.08022602800086e-05,-9.01081710426987e-06,1.17030099617912e-06,1.75326267430004e-07,-3.33306808792526e-05,3.78985807409163e-06,-4.96554535325353e-06,2.65323697775469e-06,-1.19380447959629e-06,8.16122743257648e-06,5.85336529162055e-07,-2.77820146057491e-05,-7.40333001795414e-08,-4.33861238628487e-08,4.36099464597905e-05,-6.60107176420715e-05,1.87835768420466e-05,-1.79128467909704e-05,-9.40712981240383e-08,0.000144765155114406,-0.00103822065715238,2.64156628792944e-06
"east_of_england","alpha_H",-2.3476238790322e-06,-6.58807962059199e-07,7.27374252076014e-07,2.12212989398577e-07,9.7037232538389e-08,2.99330592912282e-08,5.55099921305434e-08,-9.05460562945647e-08,2.17746841669681e-07,-8.87309350400945e-08,3.82840465207158e-09,5.51621333466208e-08,-1.70099007045454e-07,1.51931424735155e-07,-9.5043011847776e-08,-3.39212208666653e-08,7.41085506211574e-08,-6.41755223116378e-09,-6.50561257727313e-08,-2.28325911209706e-08,-8.27690178208958e-09,-1.20307255190704e-07,2.0697669043681e-06,3.27231224844889e-08,4.35470367175845e-08,-2.22946432226279e-08,8.82543498877671e-08,-1.97506492013992e-07,3.59280610018523e-07,-1.92422737932506e-07,-1.41472560144761e-07,-2.27571399756414e-10,2.55347038210531e-11,-1.61004660798959e-06,-2.72111112399106e-06,5.7397194915223e-06,-1.53965615349619e-07,1.66236045691826e-06,-2.15462800943904e-06,-2.06482747347596e-07,8.4914442141459e-06,9.99275311291455e-07,-1.60365282360001e-06,-5.58939018916858e-07,2.46698593628481e-06,-2.09782469225373e-06,-2.17404215540517e-07,-8.25886083724331e-07,-8.65489210568587e-10,-2.15242823015156e-09,-2.19328837014303e-06,2.74737656336351e-06,3.70248003060438e-06,-7.85422065708784e-07,-7.0545823496103e-09,8.145587840442e-05,0.000114996692753291,3.85988057534479e-07
"east_of_england","beta1",-1.42968789057151e-06,-2.67386576042645e-06,2.12212989398577e-07,9.20677881340479e-07,1.48325043096361e-07,-2.97863862086162e-07,1.41611055827461e-07,-2.16373129682304e-08,1.84234496116325e-07,7.90159974181391e-08,8.03105491031739e-09,1.06166798028874e-07,5.5562720912214e-08,1.36389565640313e-08,-1.74573211411974e-06,4.31424395591598e-08,8.37993467121092e-08,-1.05352392389341e-08,2.36632412979156e-07,-5.43291426090006e-08,9.51730134748741e-08,1.82805143293513e-07,-1.13474674067088e-06,2.17735077204256e-08,1.09553543679954e-07,5.32206282437704e-09,5.59278908633177e-08,-5.21405945616136e-08,1.78953970062155e-07,-2.18965307414946e-08,-1.22628700006768e-05,1.02806999013174e-11,-2.4947195101966e-11,-1.47325395809513e-06,-6.48492579625772e-06,2.60234549833273e-06,-2.42837955323203e-06,-4.46575518768224e-08,7.72954257638431e-08,-1.56770028327332e-07,7.91943819145389e-06,-1.30924799055054e-06,1.38532694536101e-06,-9.42339337463263e-07,1.36045261233584e-06,-1.17257938251961e-06,-4.81403576495227e-07,1.18674570028301e-06,9.59689423395058e-09,6.78868390328721e-09,-7.9061402957447e-06,1.88723628900786e-06,1.57880721282618e-06,6.04687968746423e-06,1.13234895976863e-08,-3.08089242227618e-05,0.000411666288905785,2.65451056050726e-07
"east_of_england","beta10",-1.0179225066018e-06,-9.86567312178892e-07,9.7037232538389e-08,1.48325043096361e-07,7.81254621459365e-07,-8.83085884354075e-07,2.5611524411739e-07,-9.94676179601345e-08,6.6322163282646e-08,-1.72750923673355e-08,1.52868134849082e-08,3.63016057278342e-08,9.67314323010492e-09,-1.1397862191973e-09,-8.01738594965429e-07,2.22686496772916e-08,2.78308674954308e-07,-3.94369346311741e-07,5.19919930731575e-07,-1.01378356486454e-08,2.07926256131244e-07,5.48251955502111e-08,4.42780695706245e-07,5.3464176218038e-08,8.46554153914306e-09,-3.59422864802977e-08,1.21951267917068e-07,-1.75866963138266e-07,5.49478404926042e-07,-8.7444946096789e-07,4.1305357503598e-06,1.68614425184239e-10,-6.32335153482024e-11,-4.71412118892236e-07,-2.34516746900244e-06,4.66581745503323e-06,3.42605027845505e-07,-4.99279370769295e-07,-2.13519258138324e-06,6.46888725090418e-08,6.06079000775584e-07,-5.91732301825962e-07,-3.05991552311118e-06,-1.99320148383851e-07,8.48852104443995e-07,-2.92553110407457e-07,5.89911618590764e-08,3.47713457866021e-07,4.017970291491e-09,1.67878371623351e-09,9.6498613294802e-07,5.07581956854131e-07,1.44153908681743e-06,-1.75303971687447e-07,-5.02213689125505e-09,-0.000121232610928839,2.49095138077385e-05,-1.87790481201416e-06
"east_of_england","beta11",1.94111006875152e-06,1.65250177695751e-06,2.99330592912282e-08,-2.97863862086162e-07,-8.83085884354075e-07,2.10605542855984e-06,-9.61071039597508e-07,5.04321839557129e-07,-5.06005289970161e-07,3.4516617205362e-07,-8.09057664035889e-09,1.78609062825465e-09,1.00083806455815e-07,3.82722635900705e-08,1.00303810551289e-06,-8.36279228318196e-10,-2.18376606925156e-07,-3.10708211706207e-07,-7.60225282508203e-08,-7.71306103642706e-08,-2.27767414717414e-07,4.78728920131113e-08,-9.24616671201119e-07,-2.78581874981256e-08,1.08708277229345e-07,-2.21052812178916e-08,-4.14224529292229e-08,1.83033296026889e-07,-4.68006475096326e-07,7.99888227893445e-07,-4.33156400574545e-05,-5.33472754427072e-10,1.68036738597152e-10,3.72036948205289e-06,5.19695571779932e-06,-1.01499543720419e-06,-1.23958450660186e-06,-7.67829477304616e-07,2.40499134683223e-06,-2.07969566074596e-07,4.30930762216346e-06,1.03203426740703e-06,-1.19710216931955e-06,9.49108677774229e-07,-2.93602987443158e-06,-2.17072023475125e-06,-1.2767446859968e-07,-1.77834498264629e-06,-7.33577080432988e-09,5.52934658123012e-10,2.02072849742034e-06,-1.48721130929198e-05,-2.69331614244085e-06,3.48688762580777e-07,-1.52656996697225e-08,0.000263061670005103,-0.000126512628620857,4.09033621397901e-06
"east_of_england","beta12",3.2876447503066e-07,-2.88710521496021e-07,5.55099921305434e-08,1.41611055827461e-07,2.5611524411739e-07,-9.61071039597508e-07,9.03554742409165e-07,-6.42121582661417e-07,6.38954457524612e-07,-3.0453896037095e-07,2.36257965138812e-08,2.77243124598763e-08,-4.2090739689807e-08,-3.19674094380555e-08,-6.11483928805245e-07,1.2532529057551e-07,6.46282171624582e-08,6.5375308580437e-07,-2.9734636016716e-07,2.24694115692214e-07,9.36471651174836e-08,1.45089885248955e-07,2.49121731726254e-06,2.81382172090478e-08,-1.80627677995398e-08,-3.79192110966605e-09,4.88123521723178e-08,-5.51003147183027e-08,1.28950060949842e-07,-1.94988583969422e-07,1.36275138955006e-05,2.72861505886448e-10,-8.92274259502965e-11,-8.2540725195584e-07,-2.23500745023933e-06,1.36722449644996e-07,4.25743131771439e-07,4.51661510248133e-07,-6.54935151812066e-07,-6.83206190940672e-09,-1.66427940896089e-06,-9.90284259885971e-07,-1.74657417171618e-06,-8.06477175232613e-07,9.8103224898644e-07,1.05316464198452e-06,5.11748249754318e-08,1.56556228849095e-07,1.300748821994e-08,6.91815958711046e-09,2.96954908118508e-06,6.76686405719351e-06,-1.20899383634911e-06,5.6406048919224e-07,6.42110483971796e-09,-0.000173583049364793,3.98489631348509e-05,-2.63918309502507e-06
"east_of_england","beta13",-5.47941911107463e-07,-5.74773075129979e-07,-9.05460562945647e-08,-2.16373129682304e-08,-9.94676179601345e-08,5.04321839557129e-07,-6.42121582661417e-07,7.3122320397328e-07,-9.13574210151141e-07,4.99758643528348e-07,-1.19498085918608e-08,2.80400148740465e-08,7.01616862104821e-08,1.14116579606297e-07,5.06261034169359e-07,-6.56194477106415e-08,3.94641949743479e-08,-3.54123082286234e-07,2.61370331480967e-07,-6.24497738402257e-08,3.97215002418305e-08,4.53692869470667e-08,-2.70492240637945e-06,-8.61888465421963e-09,7.12778282799124e-08,-4.7714287596148e-09,-8.02413304200697e-09,2.97313181388548e-08,-5.52212996386094e-09,1.35267912329659e-07,-1.22787421088324e-05,-2.05950219605377e-10,5.62322510307433e-11,-7.95722360076727e-08,-3.41272267890864e-07,-1.72420696962874e-07,-1.10243446570617e-07,-4.57077855449295e-07,-5.40776283881364e-07,-2.03221395557929e-08,3.97801432413066e-06,-2.12553004264538e-07,-1.1012485760265e-06,6.29227822286173e-07,8.19954976407775e-08,-1.47301196024552e-06,-7.41104799489411e-08,1.15553652420862e-06,2.59171687737876e-09,-2.58527205879803e-09,-2.84204325871773e-06,-5.02056535746129e-06,-1.45611516491231e-07,-1.29682745699379e-06,5.97448816898314e-09,6.67581285451943e-05,-3.03718887610589e-06,1.11203968929653e-06
"east_of_england","beta14",-6.84164065279002e-07,5.58337491923227e-07,2.17746841669681e-07,1.84234496116325e-07,6.6322163282646e-08,-5.06005289970161e-07,6.38954457524612e-07,-9.13574210151141e-07,2.00602549511369e-06,-1.47789524242751e-06,1.41769152492329e-07,-8.2616448860823e-08,6.65928799404954e-08,-1.96936445149119e-07,-5.2571293139414e-07,2.16474116153564e-07,-7.85159209947316e-08,5.54692377828265e-07,-4.10262825416564e-07,1.44417054148909e-07,-2.05486340910085e-07,2.39944685303911e-07,2.16063269653281e-06,9.89987490111804e-09,-1.53215283135247e-08,4.53000748023005e-08,1.01045761391008e-08,-2.70282288256674e-08,1.01410050100493e-07,-1.01743032525535e-07,7.97377329528095e-06,1.55348878151699e-10,-4.75967704859416e-11,4.98208228948448e-07,-1.67579934425148e-07,-5.53092886879204e-06,1.90397651901427e-06,2.13651048969841e-06,1.4744348831938e-06,-8.5650648808572e-08,2.32177964543132e-07,-8.74819601408115e-07,6.14038532566379e-06,-1.34559945414866e-06,-1.50280168613756e-06,8.68058255363885e-07,-1.63697953311546e-07,-5.2836586024934e-08,-8.28936617180266e-09,4.51850614293443e-09,4.46247476297027e-06,5.81312511489011e-06,-1.88171058726195e-06,9.41877713401755e-06,-1.74702529019093e-08,4.97985154400066e-05,6.85814018940619e-05,-5.24921027889437e-07
"east_of_england","beta15",7.3525081156415e-07,-1.17707135493554e-06,-8.87309350400945e-08,7.90159974181391e-08,-1.72750923673355e-08,3.4516617205362e-07,-3.0453896037095e-07,4.99758643528348e-07,-1.47789524242751e-06,1.8550901206428e-06,-2.19972216840566e-07,2.33601222480471e-07,-2.25201533482298e-07,3.63938273627837e-07,-1.47454884999044e-07,-2.52426935011116e-07,2.25201617503395e-07,-8.34157359998117e-07,4.29270255666024e-07,-8.33374044522227e-08,1.77441402500944e-07,-2.76760339155471e-08,-2.32750973290643e-06,-1.24678972743769e-08,1.77253003223082e-07,-1.16078355436923e-07,1.30887343310891e-07,-3.50997676533992e-08,1.07412290026424e-07,4.63734291031122e-08,-3.77066397508036e-05,-2.15771673266015e-10,6.40413825594304e-11,-4.73834963788919e-07,-5.78106446222833e-06,2.16129552317603e-06,-1.11990406417827e-06,-4.64777053300764e-06,-1.25531773090927e-06,1.08708915686214e-08,4.8868930935839e-06,-8.3930649749714e-07,1.13031644401442e-07,1.02425414997336e-06,4.92089350306093e-06,-2.07722294131213e-06,-2.12274397263751e-07,1.45606996675465e-07,-3.06201869883852e-09,-6.20848921707167e-09,-8.13810642441764e-06,-7.81577521886536e-06,3.86893801508152e-06,-4.85844873697195e-06,1.824165861168e-08,-3.99108526536592e-05,9.43686758362207e-08,6.74575125522559e-07
