"","x"
"alpha_D",-2.66705553699444
"alpha_death_hosp",-0.932017180273239
"alpha_H",-3.18343387508073
"beta1",-2.22941008498199
"beta2",-3.44293432616728
"beta3",-3.52195826120646
"beta4",-3.3271458590607
"beta5",-3.12682650894308
"beta6",-3.37988338561265
"beta7",-3.07113062768496
"beta8",-2.7830023576416
"beta9",-2.84924842907919
"eps",-0.648301089133898
"m_CHR",-12.7670176105568
"m_CHW",-11.6403470469115
"mu_D",-1.76076299443553
"p_G_D",-3.54709253804811
"p_G_D_CHR",1.19242505682935
"p_H",-0.303484965856494
"p_H_D",-0.477749850127875
"p_ICU",-0.833366809514272
"p_ICU_2",-1.67395668431207
"p_ICU_D",0.816242952581525
"p_NC",-5.14640819084977
"p_NC_weekend",-5.67345966998166
"p_W_D",-1.12089105751144
"rho_pillar2_tests",-5.65263039284819
"start_date",0.0276568059614351
